going,ran,num,pos,ovr_btn,btn,age,sex,lbs,time,secs,dec,or,rpr,jockey,trainer
Good,16,9,1,0,0,4,G,160,04:01.8,241.8,1.67,0,119,A P McCoy,M C Pipe
Good,16,10,2,5,5,6,G,155,04:02.8,242.8,26,0,107,O Burrows,J T Gifford
Good,16,13,3,5.75,0.75,5,G,160,04:03.0,242.95,7.5,0,108,Philip Hide,J T Gifford
Good,16,11,4,9.75,4,5,G,160,04:03.7,243.75,7,0,102,Richard Johnson,D Nicholson
Good,16,1,5,13.75,4,4,G,160,04:04.6,244.55,26,0,98,R Farrant,Henry Daly
Good,16,16,6,16.75,3,7,M,152,04:05.2,245.15,41,0,90,Gerry Supple,Stuart Howe
Good,16,8,7,22.75,6,5,G,160,04:06.3,246.35,34,0,89,B Powell Snr,Bob Buckler
Good,16,14,8,23.75,1,6,G,160,04:06.5,246.55,26,0,88,Warren Marston,D Nicholson
Good,16,3,9,46.75,23,6,G,160,04:11.1,251.15,101,0,65,Robert Thornton,Alan Juckes
Good,16,7,10,51.75,5,5,G,160,04:12.1,252.15,13,105,60,Jim Culloty,Robin Dickin
Good,16,4,11,52.5,0.75,6,G,155,04:12.3,252.3,201,0,59,Jodie Mogford,O ONeill
Good,16,5,12,59.5,7,6,G,160,04:13.7,253.7,11,0,52,Russ Garritty,Paul Webber
Good,16,2,13,88.5,29,6,G,160,04:19.5,259.5,41,0,23,S Wynne,Henry Daly
Good,16,12,0,-,-,6,G,160,-,-,34,0,0,Adrian Maguire,F Jordan
Good,16,6,0,-,-,4,G,153,-,-,51,0,0,Mr D Painter,Tony Carroll
Good,16,15,0,-,-,5,M,148,-,-,67,0,0,Mr M Scales,F Jordan
Good,12,1,1,0,0,6,G,167,05:08.5,308.5,3.25,105,122,Philip Hide,J T Gifford
Good,12,3,2,1,1,7,G,162,05:08.7,308.7,10,100,116,Andrew Thornton,Richard Phillips
Good,12,10,3,20,19,6,G,140,05:12.5,312.5,21,78,75,Adrian Maguire,Mrs D Thomson
Good,12,9,4,30,10,12,G,140,05:14.5,314.5,67,78,65,Warren Marston,M J M Evans
Good,12,7,5,30.5,0.5,7,G,145,05:14.6,314.6,7,83,70,Joe Tizzard,Julian Smith
Good,12,11,6,51.5,21,10,G,140,05:18.8,318.8,51,78,44,R Bellamy,J C Tuck
Good,12,6,7,81.5,30,7,G,155,05:24.8,324.8,21,93,0,Timmy Murphy,Simon Sherwood
Good,12,8,8,95.5,14,8,G,144,05:27.6,327.6,51,82,0,M Sharratt,Ann Stokell
Good,12,12,9,99.5,4,11,G,140,05:28.4,328.4,101,78,0,Miss A Dudley,C J Hemsley
Good,12,4,F,-,-,7,G,157,-,-,6,95,100,D Salter,Rod Millman
Good,12,2,PU,-,-,8,G,162,-,-,8,100,0,Mick Fitzgerald,Nicky Henderson
Good,12,5,UR,-,-,6,M,156,-,-,7.5,94,0,B Powell Snr,Bob Buckler
Good,9,1,1,0,0,7,G,164,05:04.8,304.8,8,139,144,A P McCoy,M C Pipe
Good,9,3,2,1.25,1.25,9,G,160,05:05.0,305.05,13,135,139,Carl Llewellyn,Nigel Twiston-Davies
Good,9,10,3,1.75,0.5,7,G,140,05:05.1,305.15,5.5,115,120,R Supple,John Upson
Good,9,4,4,3,1.25,7,G,159,05:05.4,305.4,6,134,137,L Cummins,J S King
Good,9,8,5,8,5,6,G,142,05:06.4,306.4,7.5,117,116,Timmy Murphy,Mark Pitman
Good,9,9,6,20,12,4,G,141,05:08.8,308.8,17,116,101,C Maude,Nigel Twiston-Davies
Good,9,7,7,21,1,7,M,142,05:09.0,309,3.5,122,113,Henry Oliver,J C Tuck
Good,9,6,8,50,29,4,G,148,05:14.8,314.8,13,123,78,Richie McGrath,Jonjo ONeill
Good,9,5,9,80,30,6,M,158,05:20.8,320.8,9,133,58,Andrew Thornton,R H Alner
Good,7,1,1,0,0,3,G,157,04:02.1,242.1,1.67,–,123,A P McCoy,M C Pipe
Good,7,2,2,1.5,1.5,3,G,157,04:02.4,242.4,2.88,–,117,Carl Llewellyn,Nigel Twiston-Davies
Good,7,4,3,3.5,2,3,G,145,04:02.8,242.8,9,–,109,J Power,Bill Turner
Good,7,6,4,6.5,3,3,G,152,04:03.4,243.4,21,–,106,T Jenks,Nigel Twiston-Davies
Good,7,3,5,36.5,30,3,G,152,04:09.4,249.4,101,–,69,Warren Marston,Tony Carroll
Good,7,7,6,39,2.5,3,F,147,04:09.9,249.9,101,–,61,Vince Slattery,R J Baker
Good,7,5,7,53,14,3,G,152,04:12.7,252.7,101,–,52,E Husband,Peter Hiatt
Good,6,2,1,0,0,8,G,163,06:23.6,383.6,3.25,103,113,Mr L Jefford,Philip Hobbs
Good,6,1,2,0.3,0.3,10,M,175,06:23.7,383.66,3,112,122,Mr A Farrant,M C Pipe
Good,6,3,3,13.25,13,7,G,159,06:26.3,386.25,7.5,103,100,Mark Nicolls,Peter Bowen
Good,6,5,F,-,-,10,G,141,-,-,17,85,–,Mr D Old Cook,Ms A E Embiricos
Good,6,6,PU,-,-,8,G,143,-,-,51,85,–,C R Weaver,Bernard Scriven
Good,6,4,UR,-,-,8,G,157,-,-,4.5,101,–,Mr T Stephenson,Andy Hobbs
Good,9,6,1,0,0,8,G,153,06:21.3,381.3,3,–,141,Joe Tizzard,Paul Nicholls
Good,9,1,2,6,6,5,G,168,06:22.5,382.5,3.75,128,148,Carl Llewellyn,Nigel Twiston-Davies
Good,9,8,3,36,30,6,G,153,06:28.5,388.5,6,107,99,Richie McGrath,Jonjo ONeill
Good,9,4,4,38.5,2.5,9,G,153,06:29.0,389,17,–,97,B Powell Snr,Bob Buckler
Good,9,9,5,39.25,0.75,6,M,148,06:29.2,389.15,34,–,91,P Holley,Nerys Dutfield
Good,9,3,6,40.5,1.25,5,G,158,06:29.4,389.4,21,97,100,Mickey Brennan,John OShea
Good,9,7,PU,-,-,7,G,153,-,-,51,–,–,D Walsh,Roger Curtis
Good,9,2,PU,-,-,5,G,158,-,-,5.5,97,–,Timmy Murphy,Jim Old
Good,9,5,PU,-,-,6,G,148,-,-,21,–,–,Jodie Mogford,Ralph J Smith
Good,9,1,1,0,0,4,G,159,05:09.2,309.2,5.5,–,138,Seamus Durack,Ian Williams
Good,9,3,2,8,8,5,G,150,05:10.8,310.8,7,–,121,Mr R Widger,Philip Hobbs
Good,9,2,3,22,14,6,G,159,05:13.6,313.6,3.25,111,115,A P McCoy,M C Pipe
Good,9,7,4,31,9,7,G,153,05:15.4,315.4,67,85,97,Robert Thornton,Miss C Johnsey
Good,9,9,5,37,6,5,M,148,05:16.6,316.6,3.5,–,85,Carl Llewellyn,Nigel Twiston-Davies
Good,9,4,6,37.25,0.3,6,G,153,05:16.6,316.65,9,–,92,Barry Fenton,Richard Rowe
Good,9,5,7,65.25,28,6,G,153,05:22.3,322.25,34,–,62,Richard Johnson,Henry Daly
Good,9,6,8,95.25,30,6,G,153,05:28.3,328.25,17,–,–,Norman Williamson,Miss S Edwards
Good,9,8,PU,-,-,7,G,153,-,-,67,–,–,B Powell Snr,M P Muggeridge
Good,6,3,1,0,0,7,G,154,04:06.4,246.4,51,72,102,Sean Fox,H M Kavanagh
Good,6,5,2,12,12,8,G,154,04:08.8,248.8,17,–,87,R Wakley,Tom George
Good,6,2,3,14,2,7,G,160,04:09.2,249.2,3,–,91,Seamus Durack,Ian Williams
Good,6,6,4,44,30,10,G,151,04:15.2,255.2,201,60,–,Guy Lewis,Ray Williams
Good,6,1,F,-,-,7,G,160,-,-,1.62,120,–,Joe Tizzard,Paul Nicholls
Good,6,7,UR,-,-,5,G,154,-,-,15,–,–,Philip Hide,J T Gifford
Good,11,5,1,0,0,4,G,160,03:57.3,237.3,6.5,105,122,D Gallagher,Lady Herries
Good,11,4,2,0.75,0.75,4,G,163,03:57.4,237.45,8,108,122,A P McCoy,Christopher Kellett
