class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 2,4yo+,3260,Soft,4,4,Samraan (USA),6,H,123,T Quinn,John Dunlop,110,103,1
Class 2,4yo+,3260,Soft,4,1,Raise A Prince (FR),6,G,127,Neil Callan,S Woods,100,106,2
Class 2,4yo+,3260,Soft,4,3,Mardani (IRE),4,G,124,John Carroll,Mark Johnston,–,96,3
Class 2,4yo+,3260,Soft,4,2,Loveman (USA),5,G,126,Ray Cochrane,Kevin Morgan,–,93,4
Class 3,4yo+,2373,Soft,9,6,Coulthard I (IRE),6,G,126,Tony Culhane,Pam Sly,85,96,1
Class 3,4yo+,2373,Soft,9,3,Elhayq (IRE),4,C,134,T Quinn,John Dunlop,94,101,2
Class 3,4yo+,2373,Soft,9,5,Cugina (GB),5,M,131,Russell Price,G B Balding,90,98,3
Class 3,4yo+,2373,Soft,9,2,Hajr (IRE),5,G,136,Kevin Darley,Ed Dunlop,95,91,4
Class 3,4yo+,2373,Soft,9,9,Steamroller Stanly (GB),6,G,111,Franny Norton,K R Burke,70,57,5
Class 3,4yo+,2373,Soft,9,1,Weet-A-Minute (IRE),6,H,131,Neil Callan,Reg Hollinshead,95,78,6
Class 3,4yo+,2373,Soft,9,7,Gatecrasher II (GB),4,G,123,Ray Cochrane,James Fanshawe,83,57,7
Class 3,4yo+,2373,Soft,9,8,China Castle (GB),6,G,116,Dale Gibson,P C Haslam,75,14,8
Class 3,4yo+,2373,Soft,9,4,Robin Lane (GB),4,F,132,Darryll Holland,Mark Johnston,92,14,9
Class 1,3yo,1006,Soft,7,1,Inya Lake (GB),3,F,125,T Quinn,Mick Channon,105,101,1
Class 1,3yo,1006,Soft,7,3,Henry Hall (IRE),3,C,123,Willie Ryan,Nigel Tinkler,98,99,2
Class 1,3yo,1006,Soft,7,6,Damalis (IRE),3,F,118,John Carroll,Eric Alston,94,89,3
Class 1,3yo,1006,Soft,7,2,Bon Ami (IRE),3,G,123,Kevin Darley,J Berry,95,94,4
Class 1,3yo,1006,Soft,7,7,Saphire (GB),3,F,118,Tony Culhane,C B B Booth,94,88,5
Class 1,3yo,1006,Soft,7,5,Susans Pride I (IRE),3,G,123,Darryll Holland,Brian Meehan,–,89,6
Class 1,3yo,1006,Soft,7,4,Perugino Bay (IRE),3,C,123,George Duffield,B A McMahon,107,60,7
Class 5,2yo,1006,Soft,11,6,Pipadash (IRE),2,F,112,Robert Winston,Tim Easterby,–,72,1
Class 5,2yo,1006,Soft,11,7,Taras Girl (IRE),2,F,108,Dean Mernagh,John Quinn,–,69,2
Class 5,2yo,1006,Soft,11,1,Heathyards Lad (IRE),2,G,118,Tony Culhane,Reg Hollinshead,–,68,3
Class 5,2yo,1006,Soft,11,9,Shouldhavegonehome (IRE),2,F,105,Chris D Cogan,David Evans,–,61,4
Class 5,2yo,1006,Soft,11,11,Top Of The Class (IRE),2,F,110,Franny Norton,Martyn Wane,–,56,5
Class 5,2yo,1006,Soft,11,2,Nifty Major (GB),2,G,118,Kevin Darley,J Berry,–,62,6
Class 5,2yo,1006,Soft,11,4,Xenos (GB),2,G,118,T Quinn,Mick Channon,–,61,7
Class 5,2yo,1006,Soft,11,10,Sweet Haven (GB),2,F,110,T Williams,M J Heaton-Ellis,–,50,8
Class 5,2yo,1006,Soft,11,8,Willrack Times (GB),2,F,114,George Duffield,B A McMahon,–,52,9
Class 5,2yo,1006,Soft,11,3,Power And Demand (GB),2,G,118,Joe Fanning,Derek Shaw,–,47,10
Class 5,2yo,1006,Soft,11,5,Shaw Venture (GB),2,G,115,T Sprake,Bryn Palling,–,43,11
Class 3,3yo,2121,Soft,9,1,Nowhere To ExitI (GB),3,C,133,T Quinn,John Dunlop,91,108,1
Class 3,3yo,2121,Soft,9,3,Moutahddee (IRE),3,C,129,T Sprake,Marcus Tregoning,87,96,2
Class 3,3yo,2121,Soft,9,8,Little Pippin I (GB),3,F,119,P P Murphy,G B Balding,80,84,3
Class 3,3yo,2121,Soft,9,6,Raneen Nashwan (GB),3,G,119,P T Cleary,Mick Channon,84,81,4
Class 3,3yo,2121,Soft,9,9,Windshift (IRE),3,G,117,Robert Winston,Derek Shaw,78,53,5
Class 3,3yo,2121,Soft,9,4,Weet For Me (GB),3,C,128,Tony Culhane,Reg Hollinshead,86,60,6
