date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,5,1,4,0,0,Ma Yoram (USA),2,G,126,,1:1.73,61.73,1.83,Frankie Dettori,Mick Channon,3468.75,–,86,Dayjur (USA),Quelle Affaire (USA),Riverman,Sheikh Ahmed Al Maktoum,Green in preliminaries - made all - quickened clear over 1f out - readily(op 4-5 tchd evens)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,2,2,2,4,4,Coco De Mer (GB),2,G,126,,1:2.53,62.53,11.00,Fergus Sweeney,Alan Jarvis,1050,–,74,Prince Sabo (GB),Musica GB,Primo Dominie,Ms Julie Greenacre,Tracked leaders - reminder and chased winner from over 1f out - kept on well(op 6-1 tchd 12-1 in places)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,8,3,1,4.5,.5,Saafend Boy (GB),2,C,126,,1:2.63,62.63,13.00,Dane ONeill,Richard Hannon Snr,512.50,–,73,Marju (IRE),Perfect Alibi I GB,Law Society,J B R Leisuresouth Western Partnership,Close up - pushed along and outpaced over 1f out - kept on well final furlong(op 8-1 tchd 14-1 in places.)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,7,4,10,4.75,0.3,NiagaraI (IRE),2,G,126,,1:2.68,62.68,34.00,Steve Drowne,Mark H Tompkins,243.75,–,72,Rainbows For Life (CAN),Highbrook (USA),Alphabatim,Miss D J Merson,Dwelt - pushed along halfway - headway over 1f out - kept on - better for race(op 20-1 tchd 50-1 in places.)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,10,5,9,6,1.25,Sians Millennium (GB),2,F,118,,1:2.93,62.93,6.00,Gavin Faulkner,Bryn Palling,,–,63,Whittingham (IRE),Special One GB,Aragon,John Harris And Mrs Sian Harris,In close touch - driven along from halfway - no impression from over 1f out(op 5-1 after 8-1 in places tchd 6-1)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,3,6,7,10,4,Ignite (IRE),2,G,126,,1:3.73,63.73,10.00,Kieren Fallon,G Lewis,,–,56,Bluebird (USA),Save Me The Waltz GB,Kings Lake,Highclere Thoroughbred Racing Ltd,Close up - pushed along over 2f out - weakened over 1f out(op 6-1 tchd 10-1 in a place.)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,4,7,6,10.5,.5,Master Jones (GB),2,G,126,,1:3.83,63.83,34.00,Pat Eddery,Linda Stubbs,,–,55,Emperor Jones (USA),Tight Spin GB,High Top,Maurice Parker,Slowly into stride - in touch - pushed along halfway - soon no impression(op 20-1 tchd 40-1 in a place.)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,6,8,8,10.75,0.3,Muffin Man (GB),2,C,126,,1:3.88,63.88,51.00,R Perham,Mark Usher,,–,54,Timeless Times (USA),Allesca GB,Alleging,Miss D G Kerr,Went right start - outpaced(op 20-1)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,9,9,3,11.5,.75,Damasquiner (GB),2,F,121,,1:4.03,64.03,17.00,Pat McCabe,Ted Powell,,–,46,Casteddu (GB),Hymn Book (IRE),Darshaan,Miss P I Westbrook,Dwelt - soon in touch - pushed along halfway - weakened well over 1f out(op 33-1)
1999-04-03,GB,Kempton,2:05,European Breeders Fund Milcars Watford Maiden Stakes Class D,Flat,Class 4,,,2yo,,5f,5f,1006,Good,10,1,10,5,41.5,30,Arcadian Chief (GB),2,G,126,,1:10.03,70.03,41.00,John Reid,K T Ivory,,–,–,Be My Chief (USA),May Hinton GB,Main Reef I,M Z Tarlowski,Soon pushed along - in touch - outpaced halfway - tailed off over 1f out(op 20-1 tchd 50-1 in places.)
1999-04-03,GB,Kempton,2:40,Milcars Stanmore Conditions Stakes Class C,Flat,Class 3,,,3yo,,1m2f,10f,2012,Good,5,2,1,1,0,0,Glamis (USA),3,C,125,,2:4.96,124.96,2.10,Frankie Dettori,John Gosden,5631.30,113,112,Silver Hawk (USA),Glaze (USA),Mr Prospector,Sheikh Mohammed,Held up in last place - shaken up over 2f out - ridden to lead over 1f out - ran on well(op 10-11 tchd 6-5 in places.)
1999-04-03,GB,Kempton,2:40,Milcars Stanmore Conditions Stakes Class C,Flat,Class 3,,,3yo,,1m2f,10f,2012,Good,5,4,2,4,5,5,Peace Of Mind (GB),3,C,125,,2:5.96,125.96,4.33,Pat Eddery,Roger Charlton,2053.80,–,103,Nashwan (USA),De Stael (USA),Nijinsky,K Abdullah,Led - shaken up over 2f out - headed over 1f out - one pace - better for race(op 5-2 tchd 7-2)
1999-04-03,GB,Kempton,2:40,Milcars Stanmore Conditions Stakes Class C,Flat,Class 3,,,3yo,,1m2f,10f,2012,Good,5,3,3,2,5.75,.75,J R Stevenson (USA),3,G,125,,2:6.11,126.11,6.00,Jimmy Fortune,Peter Chapple-Hyam,1004.40,–,104,Lyphard (USA),While It Lasts (USA),Foolish Pleasure,R E Sangster And B V Sangster,In close touch - pushed along over 4f out - outpaced and dropped rear over 2f out - kept on under pressure from over 1f out(op 11-2 tchd 6-1)
1999-04-03,GB,Kempton,2:40,Milcars Stanmore Conditions Stakes Class C,Flat,Class 3,,,3yo,,1m2f,10f,2012,Good,5,5,4,5,8.75,3,Helvetius (GB),3,G,122,,2:6.71,126.71,26.00,Philip Robinson,Clive Brittain,432,–,93,In The Wings (GB),Hejraan (USA),Alydar,Sheikh Mohammed Obaid Al Maktoum,Keen hold early - in close touch - pushed along and every chance 3f out - outpaced well over 1f out(op 20-1)
1999-04-03,GB,Kempton,2:40,Milcars Stanmore Conditions Stakes Class C,Flat,Class 3,,,3yo,,1m2f,10f,2012,Good,5,1,5,3,13.75,5,Mixsterthetrixster (USA),3,G,133,,2:7.71,127.71,8.00,Kieren Fallon,Tim Easterby,193.50,100,95,Alleged (USA),Parliament House (USA),General Assembly,M P Burkes 5Th Family Settlement,Pulled hard - in close touch - pushed along over 3f out - weakened over 2f out(op 11-2 tchd 15-2 in places.)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,6,1,11,0,0,Candleriggs (IRE),3,G,127,,1:13.77,73.77,7.00,Kieren Fallon,Ed Dunlop,4318.50,79,89,Indian Ridge (IRE),Ridge Pool (IRE),Bluebird,The Right Angle Club,Held up - headway over 2f out - led inside final furlong - driven out(op 5-1 tchd 7-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,12,2,3,1.25,1.25,Ranaan (IRE),3,C,123,,1:14.02,74.02,8.00,Frankie Dettori,Mick Channon,1308,75,81,Brief Truce (USA),Ma Minti GB,Mummys Pet,Ahmed Al Shafar,Never far away - progress and every chance from 2f out - hard ridden over 1f out - no extra near finish(op 5-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,3,3,14,1.5,0.3,Alastair Smellie (GB),3,G,130,,1:14.07,74.07,11.00,Michael Hills,B W Hills,639,82,87,Sabrehill (USA),Reel Foyle (USA),Irish River,W J Gredley,Started slowly - held up - headway 2f out - edged right over 1f out - hard ridden and flashed tail inside final furlong - no extra(tchd 12-1 in places)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,2,4,6,4,2.5,Prince Prospect (GB),3,G,130,,1:14.57,74.57,7.50,Pat Eddery,Linda Stubbs,304.50,82,80,Lycius (USA),Princess Dechtra (IRE),Bellypha,Maurice Parker,Led - driven along over 1f out - headed and no extra under pressure inside final furlong(op 6-1 tchd 7-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,9,5,10,4.75,.75,Midhish Two (IRE),3,G,125,,1:14.72,74.72,26.00,Gary Carter,Philip Mitchell,,77,72,Midhish (GB),Tudor Loom GB,Sallust,J Mortonmrs J Cowleymrs J Murray,Held up - headway over 2f out - one pace from over 1f out(op 20-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,11,6,4,8.25,3.5,Cappella (IRE),3,F,123,,1:15.42,75.42,15.00,Dane ONeill,Richard Hannon Snr,,75,60,College Chapel (GB),Mavahra GB,Mummys Pet,Thurloe Thoroughbreds Iii,Tracked leaders till outpaced and lost place over 2f out - kept on final furlong(op 12-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,14,7,8,10,1.75,La Paola (IRE),3,F,119,,1:15.77,75.77,21.00,W J OConnor,Brian Meehan,,71,51,Common Grounds (GB),Lotte Lenta GB,Gorytus,G Battocchi,Tracked leaders - ridden 2f out - soon weakened(op 14-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,8,8,7,10.5,.5,Kilmeena Lad (GB),3,G,121,,1:15.87,75.87,21.00,Steve Carson,Eric Wheeler,,78,55,Minshaanshu Amad (USA),Kilmeena Glen GB,Beveled,Mrs J A Cleary,Close up - pushed along over 2f out - weakened well over 1f out(op 16-1 tchd 25-1 in places)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,13,9,1,12.25,1.75,Sweet As A Nut I (IRE),3,F,123,,1:16.22,76.22,13.00,J Weaver,Chris Dwyer,,75,49,Pips Pride (GB),My First Paige (IRE),Runnett,Wessex House Racing,Cloe up - driven 2f out - weakened over 1f out(op 14-1 tchd 16-1 - 20-1 in a place)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,4,10,13,12.75,.5,Charlene Lacy (IRE),3,F,129,,1:16.32,76.32,34.00,Fergus Sweeney,Alan Jarvis,,81,52,Pips Pride (GB),Friendly Song GB,Song,Mrs Ann Jarvis,In close touch - short of room over 2f out - soon ridden and beaten(tchd 50-1 in places)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,10,11,9,14.5,1.75,Golden Force I (GB),3,G,118,,1:16.67,76.67,26.00,Pat Dobbs,Richard Hannon Snr,,77,42,Forzando (GB),Silverlocks GB,Sharrood,George E K Teo,Driven halfway - never on terms(op 20-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,7,12,12,15.25,.75,Clear Night (GB),3,C,126,,1:16.82,76.82,21.00,Richard Hughes,Richard Hannon Snr,,78,43,Night Shift (USA),Clarista (USA),Riva Ridge,J A Lazzari,Waited with - outpaced and pushed along halfway - never a factor(op 14-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,1,13,2,16.25,1,Ones Enough (GB),3,G,133,,1:17.02,77.02,21.00,M Roberts,Gary Moore,,85,47,Reprimand (GB),Sea Fairy GB,Wollow,Heart Of The South Racing 3,Restrained start - headway over 2f out - hung badly left and unable to run on from over 1f out(op 14-1)
1999-04-03,GB,Kempton,3:10,Milcars Ruislip Handicap Class D,Flat,Class 4,,0-85,3yo,,6f,6f,1207,Good,14,5,14,5,16.5,0.3,Kuwait Thunder (IRE),3,G,127,,1:17.07,77.07,3.75,Jimmy Quinn,K Mahdi,,79,38,Macs Imp (USA),Romangoddess (IRE),Rhoman Rule,Greenfield Stud,With leaders - ridden 2f out - weakened quickly under pressure over 1f out (trainer said that the race came too soon after his last run)(op 5-2 tchd 7-2)
1999-04-03,GB,Kempton,3:40,Milcars Masaka Stakes(Listed Race),Flat,Class 1,Listed,,3yo,,1m,8f,1609,Good,8,5,1,8,0,0,Claxon (GB),3,F,120,,1:38.96,98.96,5.50,Pat Eddery,John Dunlop,13615,94,106,Caerleon (USA),Bulaxie GB,Bustino,Hesmonds Stud,Made all - set steady pace - chased along from over 2f out - ran on well
1999-04-03,GB,Kempton,3:40,Milcars Masaka Stakes(Listed Race),Flat,Class 1,Listed,,3yo,,1m,8f,1609,Good,8,2,2,7,2,2,Alabaq (USA),3,F,120,,1:39.36,99.36,5.50,Richard Hills,John Dunlop,4120,101,102,Riverman (USA),Salsabil GB,Sadlers Wells,Hamdan Al Maktoum,Always handy - chased winner from over 2f out - soon hard ridden - flashed tail and edged right under pressure over 1f out - one pace(op 5-1 tchd 11-2 - 6-1 in a place)
1999-04-03,GB,Kempton,3:40,Milcars Masaka Stakes(Listed Race),Flat,Class 1,Listed,,3yo,,1m,8f,1609,Good,8,3,3,3,3.75,1.75,Alexis (IRE),3,F,120,,1:39.71,99.71,5.50,Frankie Dettori,Jeremy Noseda,2010,–,98,Alzao (USA),Sister Golden Hair (IRE),Glint Of Gold,J G Davis,Tracked leaders - not clear run over 2f out - hard ridden and squeezed through - one pace from over 1f out(op 7-2 tchd 5-1 in places)
