class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,owner,pos
Class 4,2yo,1006,Good,10,5,Ma Yoram (USA),2,G,126,Frankie Dettori,Mick Channon,–,86,Sheikh Ahmed Al Maktoum,1
Class 4,2yo,1006,Good,10,2,Coco De Mer (GB),2,G,126,Fergus Sweeney,Alan Jarvis,–,74,Ms Julie Greenacre,2
Class 4,2yo,1006,Good,10,8,Saafend Boy (GB),2,C,126,Dane ONeill,Richard Hannon Snr,–,73,J B R Leisuresouth Western Partnership,3
Class 4,2yo,1006,Good,10,7,NiagaraI (IRE),2,G,126,Steve Drowne,Mark H Tompkins,–,72,Miss D J Merson,4
Class 4,2yo,1006,Good,10,10,Sians Millennium (GB),2,F,118,Gavin Faulkner,Bryn Palling,–,63,John Harris And Mrs Sian Harris,5
Class 4,2yo,1006,Good,10,3,Ignite (IRE),2,G,126,Kieren Fallon,G Lewis,–,56,Highclere Thoroughbred Racing Ltd,6
Class 4,2yo,1006,Good,10,4,Master Jones (GB),2,G,126,Pat Eddery,Linda Stubbs,–,55,Maurice Parker,7
Class 4,2yo,1006,Good,10,6,Muffin Man (GB),2,C,126,R Perham,Mark Usher,–,54,Miss D G Kerr,8
Class 4,2yo,1006,Good,10,9,Damasquiner (GB),2,F,121,Pat McCabe,Ted Powell,–,46,Miss P I Westbrook,9
Class 4,2yo,1006,Good,10,1,Arcadian Chief (GB),2,G,126,John Reid,K T Ivory,–,–,M Z Tarlowski,10
Class 3,3yo,2012,Good,5,2,Glamis (USA),3,C,125,Frankie Dettori,John Gosden,113,112,Sheikh Mohammed,1
Class 3,3yo,2012,Good,5,4,Peace Of Mind (GB),3,C,125,Pat Eddery,Roger Charlton,–,103,K Abdullah,2
Class 3,3yo,2012,Good,5,3,J R Stevenson (USA),3,G,125,Jimmy Fortune,Peter Chapple-Hyam,–,104,R E Sangster And B V Sangster,3
Class 3,3yo,2012,Good,5,5,Helvetius (GB),3,G,122,Philip Robinson,Clive Brittain,–,93,Sheikh Mohammed Obaid Al Maktoum,4
Class 3,3yo,2012,Good,5,1,Mixsterthetrixster (USA),3,G,133,Kieren Fallon,Tim Easterby,100,95,M P Burkes 5Th Family Settlement,5
Class 4,3yo,1207,Good,14,6,Candleriggs (IRE),3,G,127,Kieren Fallon,Ed Dunlop,79,89,The Right Angle Club,1
Class 4,3yo,1207,Good,14,12,Ranaan (IRE),3,C,123,Frankie Dettori,Mick Channon,75,81,Ahmed Al Shafar,2
Class 4,3yo,1207,Good,14,3,Alastair Smellie (GB),3,G,130,Michael Hills,B W Hills,82,87,W J Gredley,3
Class 4,3yo,1207,Good,14,2,Prince Prospect (GB),3,G,130,Pat Eddery,Linda Stubbs,82,80,Maurice Parker,4
Class 4,3yo,1207,Good,14,9,Midhish Two (IRE),3,G,125,Gary Carter,Philip Mitchell,77,72,J Mortonmrs J Cowleymrs J Murray,5
Class 4,3yo,1207,Good,14,11,Cappella (IRE),3,F,123,Dane ONeill,Richard Hannon Snr,75,60,Thurloe Thoroughbreds Iii,6
Class 4,3yo,1207,Good,14,14,La Paola (IRE),3,F,119,W J OConnor,Brian Meehan,71,51,G Battocchi,7
Class 4,3yo,1207,Good,14,8,Kilmeena Lad (GB),3,G,121,Steve Carson,Eric Wheeler,78,55,Mrs J A Cleary,8
Class 4,3yo,1207,Good,14,13,Sweet As A Nut I (IRE),3,F,123,J Weaver,Chris Dwyer,75,49,Wessex House Racing,9
Class 4,3yo,1207,Good,14,4,Charlene Lacy (IRE),3,F,129,Fergus Sweeney,Alan Jarvis,81,52,Mrs Ann Jarvis,10
Class 4,3yo,1207,Good,14,10,Golden Force I (GB),3,G,118,Pat Dobbs,Richard Hannon Snr,77,42,George E K Teo,11
Class 4,3yo,1207,Good,14,7,Clear Night (GB),3,C,126,Richard Hughes,Richard Hannon Snr,78,43,J A Lazzari,12
Class 4,3yo,1207,Good,14,1,Ones Enough (GB),3,G,133,M Roberts,Gary Moore,85,47,Heart Of The South Racing 3,13
Class 4,3yo,1207,Good,14,5,Kuwait Thunder (IRE),3,G,127,Jimmy Quinn,K Mahdi,79,38,Greenfield Stud,14
Class 1,3yo,1609,Good,8,5,Claxon (GB),3,F,120,Pat Eddery,John Dunlop,94,106,Hesmonds Stud,1
Class 1,3yo,1609,Good,8,2,Alabaq (USA),3,F,120,Richard Hills,John Dunlop,101,102,Hamdan Al Maktoum,2
Class 1,3yo,1609,Good,8,3,Alexis (IRE),3,F,120,Frankie Dettori,Jeremy Noseda,–,98,J G Davis,3
Class 1,3yo,1609,Good,8,4,Cape Grace (IRE),3,F,120,Dane ONeill,Richard Hannon Snr,102,97,George Strawbridge,4
Class 1,3yo,1609,Good,8,1,Lady Angharad (IRE),3,F,123,J F Egan,Alan Jarvis,103,96,Ambrose Turnbull,5
Class 1,3yo,1609,Good,8,8,Sena Desert (GB),3,F,120,Philip Robinson,Clive Brittain,88,92,Mohamed Obaida,6
Class 1,3yo,1609,Good,8,6,Kalidasa (USA),3,F,120,Jimmy Fortune,Peter Chapple-Hyam,107,91,R E Sangster,7
Class 1,3yo,1609,Good,8,7,Miss Universe (IRE),3,F,120,Michael Hills,B W Hills,108,90,The Hon Mrs J M Corbett C Wright,8
Class 1,3yo,1609,Good,11,4,Dehoush (USA),3,C,120,M Roberts,A C Stewart,102,106,Sheikh Ahmed Al Maktoum,1
Class 1,3yo,1609,Good,11,10,Wallace I (GB),3,C,120,Richard Hughes,Richard Hannon Snr,95,104,J A Lazzari,2
Class 1,3yo,1609,Good,11,2,Compton Arrow (IRE),3,G,120,Frankie Dettori,Gerard Butler,95,102,Erik Penser,3
Class 1,3yo,1609,Good,11,7,Peculiarity (GB),3,C,120,J Stack,Bryan Smart,92,101,The Family Partnership,4
Class 1,3yo,1609,Good,11,8,Tayil (IRE),3,C,120,Richard Hills,John Dunlop,104,95,Hamdan Al Maktoum,5
Class 1,3yo,1609,Good,11,3,Conflict (FR),3,C,120,Philip Robinson,Clive Brittain,–,93,Sheikh Marwan Al Maktoum,6
Class 1,3yo,1609,Good,11,9,Tumbleweed Quartet (USA),3,G,120,W J OConnor,Brian Meehan,113,93,The Tumbleweed Partnership,7
Class 1,3yo,1609,Good,11,1,Raise A Grand (IRE),3,C,125,Gary Carter,J W Payne,114,96,Nagy Azar,8
Class 1,3yo,1609,Good,11,6,Lough Swilly (IRE),3,G,120,Pat Eddery,B W Hills,97,87,John C Grant,9
Class 1,3yo,1609,Good,11,11,Zippergate (GB),3,C,120,Michael Hills,B W Hills,–,56,W J Gredley,10
Class 1,3yo,1609,Good,11,5,Fair Flight (GB),3,C,120,Kieren Fallon,Ed Dunlop,96,21,Khalifa Sultan,11
Class 3,4yo+,3219,Good,12,6,Far Cry (IRE),4,G,127,Jimmy Fortune,M C Pipe,85,92,Mrs Nicky Chambers,1
Class 3,4yo+,3219,Good,12,3,Prairie Falcon (IRE),5,G,130,Michael Hills,B W Hills,84,91,Mrs B W Hills,2
Class 3,4yo+,3219,Good,12,11,Bridies Pride (GB),8,G,110,Gary Bardwell,Gerald Ham,64,70,K C White,3
Class 3,4yo+,3219,Good,12,4,Tarxien (GB),5,G,130,J Weaver,Merrita Jones,84,88,F J Sainsbury,4
Class 3,4yo+,3219,Good,12,2,Spunkie (GB),6,G,133,Kieren Fallon,R F Johnson Houghton,87,91,Jim Short,5
Class 3,4yo+,3219,Good,12,1,Benatom (USA),6,G,140,Frankie Dettori,David Elsworth,94,95,Lordship Stud,6
Class 3,4yo+,3219,Good,12,12,Yes Keemo Sabee (GB),4,G,109,Jimmy Quinn,Derek Shaw,67,68,Ian Guise,7
Class 3,4yo+,3219,Good,12,5,Renzo (IRE),6,G,129,Seb Sanders,J L Harris,83,84,Cleartherm Glass Sealed Units Ltd,8
Class 3,4yo+,3219,Good,12,9,Sea Freedom (GB),8,H,114,Steve Drowne,G B Balding,67,65,Miss B Swire,9
Class 3,4yo+,3219,Good,12,8,Danegold (IRE),7,G,116,Allan Mackay,Mick Channon,70,68,Circular Distributors Ltd,10
Class 3,4yo+,3219,Good,12,10,Salaman (FR),7,G,111,Royston Ffrench,Daniel OBrien,65,62,Graham Pasquill,11
Class 3,4yo+,3219,Good,12,7,King Of Mommur (IRE),4,G,121,Pat Eddery,Brian Meehan,79,74,The Three Bears Racing,12
Class 4,3yo,1811,Good,13,9,Tactful Remark (USA),3,C,125,Frankie Dettori,John Gosden,77,85,Sheikh Mohammed,1
Class 4,3yo,1811,Good,13,2,Deploy Venture (GB),3,G,131,John Reid,S Woods,83,88,Dr Frank S B Chao,2
Class 4,3yo,1811,Good,13,3,Lucky Gitano (IRE),3,G,130,Pat Eddery,John Dunlop,82,85,Anamoine Limited,3
Class 4,3yo,1811,Good,13,5,Invader (GB),3,C,129,Philip Robinson,Clive Brittain,81,83,Sheikh Mohammed Obaid Al Maktoum,4
Class 4,3yo,1811,Good,13,1,Inducement (GB),3,G,133,Michael Hills,B W Hills,85,86,W J Gredley,5
Class 4,3yo,1811,Good,13,14,Pas De Probleme (IRE),3,G,120,Jimmy Quinn,Michael Blanshard,72,72,Captain Francis Burne,6
Class 4,3yo,1811,Good,13,12,Calldat Seventeen (GB),3,G,113,D Hayden,Paul DArcy,72,67,Keith Harrison,7
Class 4,3yo,1811,Good,13,7,Pluralist (IRE),3,G,125,Michael Tebbutt,William Jarvis,77,70,The Pluralist Partnership,8
Class 4,3yo,1811,Good,13,4,Quickstep (GB),3,F,130,Dane ONeill,Richard Hannon Snr,82,74,Lady Tennant,9
Class 4,3yo,1811,Good,13,10,Song n Dance Man (GB),3,C,125,Gary Carter,Jeremy Noseda,77,68,Late B Schmidt Bodnerlate Mrs M Tillman,10
Class 4,3yo,1811,Good,13,6,Natalie Jay (GB),3,F,126,Jimmy Fortune,Mick Channon,78,65,Peter Jolliffe,11
Class 4,3yo,1811,Good,13,11,Bobs Princess (GB),3,F,123,R Perham,Patrick Chamings,75,62,Mrs J E L Wright,12
Class 4,3yo,1811,Good,13,13,Padhams Green (GB),3,G,120,Steve Drowne,Mark H Tompkins,72,54,D J Anderson,13
Class 4,3yo+,1408,Good To Firm,12,12,Quite Incredible (USA),3,F,118,Pat Eddery,Ed Dunlop,–,71,Maktoum Al Maktoum,1
Class 4,3yo+,1408,Good To Firm,12,1,Desert Warrior I (IRE),5,H,137,Russell Price,K Mahdi,45,68,Hamad Al Mutawa,2
Class 4,3yo+,1408,Good To Firm,12,2,Oriental (GB),4,G,137,Frankie Dettori,John Gosden,–,68,Sheikh Mohammed,3
Class 4,3yo+,1408,Good To Firm,12,6,Grand Sonnet (IRE),3,C,120,Neil Pollard,David Elsworth,–,65,Michael Jackson Bloodstock Ltd,4
Class 4,3yo+,1408,Good To Firm,12,5,El Picador (GB),3,G,116,Gabriel Hannon,Brian Meehan,–,64,Mario Lanfranchi,5
Class 4,3yo+,1408,Good To Firm,12,4,Eight (IRE),3,G,123,Dane ONeill,M J Heaton-Ellis,–,63,Mrs Anthony Andrews,6
