dist,ran,num,pos,ovr_btn,btn,age,lbs,or,rpr
2,5,2,1,0,0,10,166,137,146
2,5,5,2,5,5,7,149,120,124
2,5,4,3,16,11,8,158,129,124
2,5,1,4,25,9,9,166,137,128
2,5,3,5,55,30,9,159,130,98
3,9,3,1,0,0,9,161,129,144
3,9,2,2,0.1,0.1,9,162,130,142
3,9,10,3,6,6,10,151,119,125
3,9,7,4,12,6,8,155,123,126
3,9,11,5,13.5,1.5,8,142,110,110
3,9,12,6,24.5,11,9,140,108,96
3,9,5,7,24.75,0.2,9,151,126,113
3,9,4,8,47.75,23,7,161,129,118
3,9,8,0,0,0,6,153,121,0
2,6,2,1,0,0,3,145,0,96
2,6,1,2,0.2,0.2,3,157,0,99
2,6,5,3,3.25,3,3,152,0,91
2,6,6,4,4.25,1,3,147,0,85
2,6,4,5,30.25,26,3,152,0,75
2,6,3,0,0,0,3,152,0,0
2,5,2,1,0,0,10,162,155,137
2,5,3,2,1.5,1.5,6,162,151,137
2,5,5,3,3.25,1.75,6,159,128,131
2,5,6,4,25.25,22,4,154,0,106
2,5,4,5,35.25,10,7,162,134,106
2,9,8,1,0,0,5,153,0,124
2,9,2,2,6,6,6,155,106,118
2,9,1,3,6.5,0.5,8,168,113,127
2,9,4,4,6.75,0.2,7,153,109,113
2,9,5,5,10.75,4,7,153,0,110
2,9,6,6,34.75,24,5,153,85,84
2,9,9,7,50.75,16,9,150,0,68
2,9,7,8,51.5,0.75,6,153,0,77
2,9,10,9,66.5,15,8,148,0,47
25,6,3,1,0,0,6,160,117,130
25,6,5,2,1.75,1.75,6,151,108,119
25,6,6,3,14.75,13,8,143,107,107
25,6,2,4,23.75,9,4,162,123,113
25,6,1,0,0,0,5,167,123,0
25,6,4,0,0,0,7,159,116,0
2,10,2,1,0,0,6,164,97,112
2,10,5,2,1.25,1.25,4,160,93,102
2,10,8,3,2.5,1.25,8,153,87,94
2,10,9,4,8.5,6,4,150,84,86
2,10,7,5,17.5,9,6,157,91,83
2,10,1,6,18,0.5,11,161,97,90
2,10,6,7,18,0.1,7,154,91,82
2,10,4,8,22,4,9,161,94,82
2,10,3,9,30,8,7,163,96,76
2,10,10,10,41,11,7,143,77,45
3,6,4,1,0,0,8,155,97,125
3,6,2,2,7,7,8,165,104,113
3,6,3,3,14,7,10,160,99,99
3,6,7,4,19,5,8,140,79,76
3,6,6,5,22,3,7,141,80,72
3,6,1,,0,0,6,168,107,0
25,7,1,1,0,0,5,157,0,130
25,7,4,2,1.5,1.5,4,150,0,115
25,7,3,3,7.5,6,4,157,0,116
25,7,6,4,11,3.5,4,150,0,106
25,7,8,5,20,9,6,150,0,98
25,7,7,6,25,5,5,150,0,98
25,7,2,7,45,20,5,157,107,98
3,9,8,1,0,0,9,152,104,116
3,9,4,2,1.25,1.25,7,161,113,127
3,9,6,3,10.25,9,8,154,106,108
3,9,7,4,15.25,5,8,153,105,104
3,9,5,5,34.25,19,11,158,110,92
3,9,1,6,35.5,1.25,7,168,120,97
3,9,3,7,56.5,21,11,166,118,74
3,9,9,8,73.5,17,7,150,102,41
3,9,2,9,75.5,2,7,161,118,55
24,7,1,1,0,0,9,158,115,134
24,7,4,2,19,19,9,153,0,109
24,7,5,3,20.5,1.5,6,153,118,106
24,7,7,4,44.5,24,6,153,0,90
24,7,3,5,74.5,30,8,153,93,0
24,7,6,,0,0,9,153,0,134
24,7,2,0,0,0,5,153,0,0
3,9,2,1,0,0,6,166,111,130
3,9,5,2,4,4,5,160,105,119
3,9,3,3,11,7,10,159,111,120
3,9,9,4,14,3,10,146,91,94
3,9,4,5,14.25,0.2,8,155,107,110
3,9,1,6,15.25,1,5,163,113,117
3,9,6,7,16,0.75,7,158,103,105
3,9,7,8,46,30,5,155,100,0
3,9,8,0,0,0,5,149,94,0
2,14,12,1,0,0,5,154,0,129
2,14,6,2,8,8,4,154,0,114
2,14,10,3,11,3,4,154,0,111
2,14,5,4,13,2,5,154,0,109
2,14,1,5,13,0.1,5,164,0,119
2,14,4,6,13.75,0.75,4,149,0,108
2,14,11,7,14.5,0.75,5,154,0,107
2,14,8,8,21.5,7,5,154,0,105
2,14,7,9,24.5,3,6,154,0,97
2,14,13,10,31.5,7,5,154,0,90
2,14,2,11,49.5,18,5,154,0,72
2,14,9,12,56.5,7,4,154,0,65
2,14,14,13,57,0.3,5,142,0,60
2,14,3,0,0,0,6,154,0,0
2,5,1,1,0,0,9,164,123,130
2,5,5,2,1.5,1.5,6,154,0,117
2,5,3,3,7.5,6,5,154,0,111
2,5,2,4,7.5,0.1,8,164,115,120
2,5,4,5,19.5,12,5,154,0,101
3,12,9,1,0,0,6,143,90,108
3,12,3,2,4,4,5,161,107,119
3,12,11,3,5.75,1.75,6,140,87,96
3,12,4,4,7,1.25,7,158,104,113
3,12,7,5,22,15,4,150,97,93
3,12,2,6,24.5,2.5,8,156,109,104
3,12,13,7,42.5,18,5,140,87,60
3,12,10,8,45,2.5,10,143,90,60
3,12,8,9,46.5,1.5,11,150,97,66
3,12,5,10,57.5,11,6,153,102,61
3,12,1,11,87.5,30,8,164,110,0
3,12,12,12,117.5,30,9,133,87,0
24,10,8,1,0,0,7,142,114,127
24,10,10,2,10,10,11,140,112,116
24,10,1,3,16,6,12,168,140,140
24,10,3,4,27,11,8,151,123,108
24,10,5,5,27.75,0.75,6,144,116,99
24,10,7,6,32.75,5,7,143,115,104
24,10,2,7,46.75,14,8,157,129,100
24,10,4,8,52.75,6,6,149,121,89
24,10,6,9,57.75,5,7,139,116,79
24,10,9,10,62.75,5,9,140,112,72
3,11,11,1,0,0,7,149,0,134
3,11,7,2,30,30,7,154,0,103
3,11,8,3,37,7,8,154,110,99
3,11,3,4,51,14,6,154,0,88
3,11,4,5,53.5,2.5,6,151,0,78
3,11,6,6,77.5,24,7,154,0,0
3,11,2,7,107.5,30,9,151,80,0
3,11,5,0,0,0,8,154,90,0
3,11,9,0,0,0,6,154,0,0
3,11,10,0,0,0,5,148,0,0
3,11,1,0,0,0,5,159,0,0
2,12,5,1,0,0,4,152,86,94
